id,Label,total_relevance,pageviews
0,Ukrainia,572,394
1,Ukraine,571,1342625
2,War in Donbass,674,232111
3,RussiaâUkraine relations,681,131310
4,Ukrainian language,475,77086
5,Russification of Ukraine,698,3183
6,2014 Russian aggression against Ukraine,756,569452
7,Yulia Tymoshenko,392,54574
8,UkraineâEuropean Union relations,353,33442
10,2021â2022 Russo-Ukrainian crisis,610,301470
11,Ukraine's accession to NATO,385,110866
12,Ukrainisation,321,4993
13,Viktor Yanukovych,331,100218
14,Economy of Ukraine,268,38405
15,Armed Forces of Ukraine,257,223147
16,Ukrainian Soviet Socialist Republic,275,62034
17,2013 Ukraine protests,278,87279
18,Volhynian tragedy,218,17730
19,Ukrainian history,290,85444
20,Modern history of Ukraine,275,13012
21,2014 Russian annexation of Crimea,583,258935
22,RussiaâUkraine gas disputes,298,16989
23,2014 pro-Russian conflict in Ukraine,390,36050
24,PolishâUkrainian War,209,10598
25,Ukrainian people,229,58118
27,Holodomor,204,149180
28,Ukrainian Canadians,192,9283
29,Autocephaly of the Orthodox Church of Ukraine,213,2004
30,Russians in Ukraine,349,28693
31,Ukrainian Greek Catholic Church in the Soviet Union,208,245
32,UkraineâEuropean Union Association Agreement,233,5800
33,Petro Poroshenko,209,79809
34,Russian language in Ukraine,307,13182
35,Organisation of Ukrainian Nationalists,162,14179
36,Ukrainian Insurgent Army,162,27411
37,LwÃ³w,165,54726
38,PolishâSoviet War,314,31428
39,Anti-Ukrainian,199,6192
40,Ukrainians in Russia,238,7530
41,Bukovina,159,16137
42,Volodymyr Zelensky,216,218226
43,Ukrainian nobility of Galicia,146,585
44,West Ukrainian National Republic,154,13208
45,Metropolitanate of Kyiv,164,598
46,Malaysia Airlines Flight 17,295,89939
47,Ukrainian diaspora,155,7855
48,2014 Ukrainian revolution,204,114447
49,Orthodox Church of Ukraine,155,12144
50,Demographics of Ukraine,149,49793
51,Religion in Ukraine,148,23262
52,Svoboda (political party),144,15437
53,President of Ukraine,128,51163
54,Stepan Bandera,141,44229
55,Viktor Yuschenko,157,41797
56,Revolutionary Insurgent Army of Ukraine,144,615
58,Donetsk People's Republic,242,128632
59,Ukrainian Greek Catholic Church,140,15039
60,Kharkov,145,55376
61,Criminal cases against Yulia Tymoshenko since 2010,133,1604
62,Legislation on languages in Ukraine,139,598
63,Kyiv,156,196701
64,Ukrainian War of Independence,137,11294
65,Ukrainian nationalists,115,6658
66,2010 Ukrainian presidential election,111,14908
67,History of the Jews in Ukraine,124,13855
68,Party of Regions,119,15497
69,History of Lviv,108,2816
70,Donbass,184,155036
71,UkrainianâSoviet War,119,18229
72,Soviet?Ukrainian War,119,11317
73,Fall of the USSR,179,155726
74,Dissolution of Soviet Union,179,117
75,Freedom of the press in Ukraine,137,1047
76,Law of Ukraine,98,1014
77,Nestor Makhno,125,23127
78,Communist Party of Ukraine,108,9503
79,Ukrainian Army,106,926
80,Symon Petliura,113,7766
81,Rodnovery,291,2151
82,Security Service of Ukraine,114,8366
83,Corruption in Ukraine,95,7705
84,Ukrainian anthem,95,130
85,Carpathian Ruthenia,107,15896
86,Ruslana,96,5522
87,Unification council of the Eastern Orthodox churches of Ukraine,92,527
88,Arseniy Yatsenyuk,115,12259
89,Western Ukraine,106,8649
90,Verkhovna Rada,94,33715
91,Zakarpattia Oblast,105,14674
92,Culture of Ukraine,96,4903
93,Luhansk People's Republic,144,74342
94,2014 Crimean status referendum,179,28745
95,Ukrainian citizenship,94,843
96,Ukrainian Premier League,92,15665
97,Soviet famine of 1932?33,102,5407
98,Soviet famine of 1932â33,102,31173
99,Ukrainian Defense Industry (company),85,253
100,"All-Ukrainian Union ""Fatherland""",90,22643
101,All the Russias,269,318
102,Protestants in Ukraine,91,138
103,Naftogaz,100,2888
104,Holodomor in modern politics,93,1880
105,Ukrainian People's Republic,106,45502
106,Rinat Akhmetov,98,24225
107,2008 Ukrainian parliamentary election,81,5808
108,Free Territory,97,6462
109,Vladimir Putin,426,727515
110,Oleksandr Turchynov,91,29285
111,Mikheil Saakashvili,91,21362
112,Dnipropetrovsk,117,28248
113,Name of Ukraine,83,20567
114,"Declaration of Ukrainian Independence, 1941",71,386
115,2018 MoscowâConstantinople schism,151,8215
116,Minsk agreements,129,69468
117,Ukrainian Orthodox Church (Moscow Patriarchate),100,5384
118,Collectivization in the Ukrainian Soviet Socialist Republic,70,1120
119,Political status of Crimea,131,17283
120,Black Sea Fleet,204,27665
121,Republic of Crimea,174,68142
122,Ukrainian Autocephalous Orthodox Church,79,1732
123,Bandura,77,3229
124,Orange Revolution,78,29197
125,Odesa,118,70005
126,Nadiya Savchenko,124,3931
127,Treaty of Warsaw (1920),75,1401
128,Act Zluky,64,4964
129,Communist Party (Bolsheviks) of Ukraine,92,3139
130,Taras Shevchenko,83,10850
131,FC Dynamo Kyiv,67,21504
132,Volodymyr Semynozhenko,62,147
133,Crimean Peninsula,164,378224
134,Natural gas in Ukraine,89,4403
135,Ukrainian alphabet,75,11677
136,Our UkraineâPeople's Self-Defense Bloc,63,1974
137,National University of Kyiv-Mohyla Academy,71,1887
138,Ministry of Defense of Ukraine,66,163
139,Political parties in Ukraine,63,5734
140,Mykhailo Hrushevsky,69,3274
141,Ukrainian Orthodox Church â Kyiv Patriarchate,68,4205
142,Vitali Klitschko,62,87070
143,Donetsk,86,66001
144,History of Poland (1939â1945),82,7287
145,Annexation of the Metropolitanate of Kyiv by the Moscow Patriarchate,75,972
146,Ukrainophone,70,145
147,Cossack Hetmanate,125,24687
148,Mykolaiv,83,9977
149,Nikita Khrushchev,78,169774
150,Denial of the Holodomor,69,4916
151,FC Shakhtar Donetsk,63,43310
152,Shakhtar Donetsk,63,1990
153,History of the Ukrainians in Baltimore,59,147
154,Cossacks,233,125197
155,Nuclear weapons and Ukraine,78,46370
156,Ukrainian cooperative movement,57,231
157,RussiaâUnited States relations,453,31590
158,2017 Petya cyberattack,71,1132
159,National Academy of Sciences of Ukraine,56,1255
160,2008â09 Ukrainian financial crisis,56,1307
161,Dnipropetrovsk Oblast,65,8878
162,Serhiy Tihipko,64,1020
163,Holodomor genocide question,57,10895
164,Ukrainian government,53,10070
165,Polonization,88,4374
166,Opposition Platform â For Life,69,19065
167,Subdivisions of Ukraine,61,12567
168,Ukrainophiles,60,1019
169,Judicial system of Ukraine,54,410
170,Socialist Party of Ukraine,53,2499
171,Treaty of Brest-Litovsk (UkraineâCentral Powers),66,1901
172,Igor Girkin,135,8402
173,Ternopil,63,6936
174,Human rights in Ukraine,55,2031
175,Volodymyr Kubiyovych,53,265
176,Reichskommissariat Ukraine,53,14708
177,Andriy Shevchenko,50,74634
178,Enlargement of NATO,113,91648
179,Autonomous Republic of Crimea,91,32028
180,Austrian Poland,73,19020
181,Lviv pogroms,51,2443
182,International sanctions during the Russo-Ukrainian War,284,22201
183,2 May 2014 Odessa clashes,104,462
184,Kuchma,61,15691
185,People's Movement of Ukraine,54,2833
186,Football Federation of Ukraine,50,557
187,Ukrainian Association of Football,50,2884
188,Bloc Yulia Tymoshenko,50,2589
189,Solidarity (Ukraine),48,18238
190,Borys Kolesnykov,48,41
191,2010 UkrainianâRussian Naval Base for Gas treaty,79,269
192,Education in Ukraine,56,3300
193,"Ukrainian Village, Chicago",50,2271
194,Mariupol,100,20956
195,Bohdan Khmelnytskyi,84,9870
196,Filaret (Denysenko),64,2557
197,Ukrselena,57,3442
198,Leonid Kravchuk,54,11640
199,Ukrainian Sich Riflemen,52,1291
200,History of Poland,157,18816
202,National Guard of Ukraine,63,13464
203,Romanization of Ukrainian,54,4845
204,Ukrainian Democratic Alliance for Reform,46,6842
205,Chernobyl disaster,61,473028
206,Ukrainian architecture,56,1349
207,2015 Ukrainian presidential election,67,16258
208,Polish population transfers (1944?1946),61,2493
209,Polish population transfers (1944â1946),61,2493
210,Mykola Azarov,52,4978
211,Lublin Triangle,51,7208
213,Ukrainian State,50,10988
214,Ivan Krypiakevych,45,114
215,Transnistria,118,158167
216,Commonwealth of Independent States,84,119541
217,Sloboda Ukraine,67,4684
218,2004 Ukrainian presidential election,65,8208
219,Eastern Ukraine,60,15536
220,Epiphanius I of Ukraine,48,2473
221,Ukrainian folk music,44,1140
222,First Azarov Government,42,372
223,Higher education in Ukraine,43,1079
224,RT (TV network),203,128745
225,Kuban Cossacks,109,6488
226,Novorossiya (confederation),76,26446
227,Ruthenians,57,14834
228,Kolomyia,41,2824
229,RussiaâNATO relations,300,45309
230,Little Russia,99,9457
231,Ivan Mazepa,64,5038
232,Oleh Tsarov,55,112
233,Opposition Bloc,45,4703
234,List of Ukrainian rulers,44,3728
235,Executed Renaissance,42,1615
236,People's Deputy of Ukraine,38,2044
237,Second Tymoshenko Government,38,173
239,Ems Ukaz,68,1157
240,2014 Donbas status referendums,56,3550
241,George Shevelov,48,523
242,Central Rada,44,457
243,Boryspil International Airport,40,16100
244,UEFA Euro 2012,39,30995
245,"Forward, Ukraine!",37,125
246,Our Ukraine (political party),37,3096
247,Levko Lukyanenko,37,381
248,Ukrainian passport,37,4998
249,Army of the South-East,99,25546
250,Former Soviet Republics,93,84229
251,Ukraine International Airlines,41,11245
252,Ukrainian World Congress,37,273
253,Ukrainian embroidery,37,1297
254,Jaroslav Rudnyckyj,36,247
255,Barszcz,85,53309
256,Southern Ukraine,48,4922
257,Independence Day of Ukraine,39,2324
258,LvovâSandomierz Offensive,37,1988
259,Viktor Baloha,35,310
260,Zhytomyr,46,7197
261,FC Karpaty Lviv,37,2885
262,Oleksandr Viktorovych Klymenko,37,71
263,Chernivtsi Oblast,37,5213
264,Constitution of Ukraine,36,7490
265,Ukrainian Latin alphabet,35,1793
266,Second Azarov Government,35,1367
267,Sevastopol,98,87754
268,Kresy,57,7126
269,Ruthenia,53,16070
270,Romanians in Ukraine,53,1556
271,Greeks in Ukraine,44,3605
272,Lviv University,35,2671
273,Ukrainian Cossacks,84,16032
274,Budjak,66,5934
275,Chernobyl Exclusion Zone,41,43027
276,Coal in Ukraine,40,1291
277,2014 Ukrainian parliamentary election,39,7602
278,Ivan Franko,35,2735
279,PolandâUkraine border,33,2178
280,Pysanky,32,371
281,Central Election Commission of Ukraine,32,750
282,Soviet,152,607631
283,Sergey Lavrov,99,84154
284,1954 transfer of Crimea,75,14749
285,Pierogi,45,61786
286,Ivan Dorn,43,2928
287,Mykola Skrypnyk,42,870
288,Tourism in Ukraine,38,2007
289,Ukrainian elections,34,3526
290,Emergency Medicine Reform in Ukraine since 2016,31,143
291,Bystroye Canal,31,895
292,United Centre,31,582
293,Bessarabia,84,27321
294,Eastern Front (World War II),66,77103
295,Lisbon Protocol,50,976
296,Ternopil Oblast,36,3677
297,Cherkasy,35,6122
298,Valentyn Nalyvaichenko,32,983
299,LwÃ³w pogrom (1918),32,1520
300,Strong Ukraine,32,1386
301,Congress of Ukrainian Nationalists,31,1884
302,Russophobes,475,90
303,Crimean bridge,86,363
304,Zaporizhzhia,53,12284
305,Soviet famine of 1946â1947,52,5081
306,John Mearsheimer,48,36788
307,Martial law in Ukraine,42,1938
308,Panteleimon Kulish,34,351
309,Ukrainian Declaration of Independence,33,9588
310,2020 Ukrainian local elections,33,3394
311,Yevhen Konovalets,33,1821
312,Pavlo Lazarenko,32,1812
313,Armia Krajowa,31,3207
314,European Party of Ukraine,29,432
315,2010 Ukrainian local elections,29,380
316,Pereyaslav Council,65,4177
317,Luhansk Oblast,54,14492
318,Soviet partisans,45,7950
319,Kyiv Post,39,2884
320,Mariupol standoff,39,93
321,Kamianets-Podilskyi,36,5792
322,Ukrainian hryvnia,35,29128
323,Serhiy Arbuzov,32,1794
324,Oblasts of Ukraine,30,11450
325,Vadym Ivchenko,29,194
326,Ulana Suprun,29,637
327,Mykola Knyazhytsky,29,65
328,Ukraine national basketball team,28,346
329,Mykola Tomenko,28,228
330,Leonid Chernovetsky,28,160
332,Moldova,89,214748
333,Soviet occupation of Bessarabia and Northern Bukovina,53,10502
334,All-Ukrainian Congress of Soviets,41,405
335,Visa requirements for Ukrainian citizens,36,19213
336,Rail transport in Ukraine,36,1651
337,Mykhailo Dobkin,35,1369
338,Central Ukraine,32,4711
339,Vasyl Stus,30,1329
340,Yuriy Boiko,30,111
341,National Museum of the Holodomor-Genocide,28,751
342,Local governance in Ukraine,27,21
343,Christian Democratic Union (Ukraine),27,264
344,Viacheslav Chornovil,27,1365
345,Ivan Ohiyenko,27,21
346,Foreign relations of Russia,470,20773
347,Chernihiv,38,6834
348,Intercession of the Theotokos,37,1901
349,Peter Mogila,34,1011
350,Okean Elzy,33,2280
351,Vlas Chubar,30,1209
352,Arsen Avakov (politician),30,612
353,Ukrainian Military Organization,29,667
354,Ukrainian folklore,29,1304
355,Ukrainian literature,28,1737
356,Population exchange between Poland and Soviet Ukraine,28,1284
357,Servant of the People (political party),28,37208
358,Declaration of State Sovereignty of Ukraine,27,1118
359,Constitutional Court of Ukraine,26,852
360,Ukrainian People's Party,26,389
361,Sport in Russia,202,5022
362,Boris Nemtsov,106,12570
363,Battle of Konotop,62,617
364,Neo-Nazis,58,1919
365,Anti-Semitism,43,6386
366,Antisemitism,43,129671
367,Donetsk Oblast,38,29386
368,List of Metropolitans and Patriarchs of Kiev,37,259
369,Rusyn language,35,16775
370,Onufriy (Berezovsky),33,868
371,CucuteniâTrypillia culture,32,10288
372,Pavel Postyshev,29,1217
373,Ivano-Frankivsk Oblast,27,5166
374,Prosecutor General of Ukraine,26,1346
375,Ukrainian Republican Party,25,407
376,Populated places in Ukraine,25,626
377,Polish-Ukrainian Peace Force Battalion,25,198
378,Revolution on Granite,25,989
379,Vyacheslav Kyrylenko,25,171
380,RussiaâEuropean Union relations,362,8642
381,Russian Jewish,169,1400
382,Petro Doroshenko,39,1543
383,Trilateral Contact Group on Ukraine,39,2515
384,Volhynia,37,9552
385,Wladimir Klitschko,34,116015
386,2006 Ukrainian parliamentary election,33,2118
387,Nuclear power in Ukraine,31,4451
388,Shevchenko Scientific Society,28,375
389,Ukrainian oligarchs,27,6652
390,Omeljan Pritsak,26,733
391,Anatoliy Hrytsenko,25,746
392,Encyclopedia of Ukraine,25,591
393,Orest Subtelny,25,685
394,"Ukrainian Republican Party ""Sobor""",24,89
395,2007 Ukrainian parliamentary election,24,2775
396,Methodius (Kudriakov),24,82
397,Uman?Boto?ani Offensive,24,290
