Source,Target
0,1
0,515
0,4
0,1541
0,7
0,12
0,13
0,16
0,27
0,33
0,34
0,35
0,36
0,41
0,44
0,45
0,47
0,49
0,53
0,55
0,568
0,1079
0,58
0,59
0,62
0,63
0,64
0,66
0,67
0,68
0,72
0,75
0,78
0,82
0,83
0,85
0,86
0,89
0,90
0,91
0,92
0,93
0,96
0,100
0,102
0,105
0,109
0,622
0,110
0,625
0,113
0,117
0,123
0,124
0,128
0,129
0,130
0,133
0,134
0,142
0,143
0,145
0,147
0,149
0,154
0,155
0,1183
0,673
0,1189
0,172
0,176
0,177
0,179
0,1203
0,192
0,198
0,203
0,205
0,206
0,211
0,216
0,218
0,219
0,223
0,228
0,1766
0,231
0,235
0,239
0,240
0,243
0,250
0,251
0,2300
0,256
0,1798
0,267
0,269
0,2321
0,276
0,1814
0,284
0,286
0,287
0,293
0,294
0,295
0,1323
0,1324
0,1329
0,306
0,3381
0,1334
0,1339
0,316
0,829
0,318
0,831
0,332
0,3428
0,903
0,408
0,409
0,410
0,425
0,426
0,441
0,444
0,464
0,465
0,472
0,989
0,1517
0,494
1,1
1,3
1,515
1,4
1,1541
1,7
1,8
1,12
1,13
1,16
1,22
1,24
1,27
1,32
1,33
1,34
1,35
1,36
1,38
1,41
1,44
1,45
1,47
1,49
1,53
1,55
1,568
1,1079
1,58
1,59
1,62
1,63
1,64
1,66
1,67
1,68
1,75
1,78
1,82
1,83
1,85
1,86
1,89
1,90
1,91
1,92
1,93
1,96
1,100
1,102
1,105
1,109
1,622
1,110
1,625
1,113
1,117
1,123
1,124
1,128
1,129
1,130
1,133
1,134
1,136
1,142
1,143
1,145
1,147
1,149
1,154
1,155
1,1183
1,160
1,673
1,1189
1,172
1,176
1,177
1,179
1,1203
1,192
1,198
1,203
1,205
1,206
1,211
1,216
1,218
1,219
1,223
1,228
1,1766
1,231
1,235
1,239
1,240
1,243
1,250
1,251
1,2300
1,256
1,1798
1,267
1,269
1,2321
1,276
1,1814
1,284
1,286
1,287
1,293
1,294
1,295
1,1323
1,1324
1,1329
1,306
1,3381
1,1334
1,1339
1,316
1,829
1,318
1,831
1,332
1,3428
1,903
1,408
1,409
1,410
1,425
1,426
1,441
1,444
1,464
1,465
1,472
1,989
1,1517
1,494
2,256
2,1
2,515
2,10
2,143
2,16
2,15
2,148
2,283
2,161
2,33
2,172
2,46
2,304
2,1202
2,568
2,58
2,317
2,445
2,63
2,194
2,839
2,202
2,82
2,215
2,88
2,89
2,219
2,93
2,94
2,226
2,2275
2,106
2,109
2,1518
2,110
2,112
2,117
2,249
2,762
3,1
3,2
3,513
3,4
3,3332
3,900
3,7
3,8
3,136
3,10
3,267
3,13
3,15
3,1811
3,148
3,149
3,22
3,154
3,27
3,155
3,283
3,30
3,1183
3,284
3,33
3,34
3,2333
3,165
3,424
3,42
3,441
3,1324
3,1326
3,48
3,1329
3,1075
3,179
3,307
3,566
3,182
3,568
3,1206
3,58
3,3379
3,188
3,3386
3,317
3,63
3,64
3,65
3,66
3,192
3,194
3,444
3,70
3,71
3,464
3,593
3,465
3,983
3,90
3,218
3,93
3,94
3,229
3,1766
3,103
3,105
3,490
3,1515
3,109
3,110
3,239
3,242
3,1781
3,120
4,1
4,130
4,515
4,900
4,135
4,143
4,147
4,149
4,27
4,287
4,159
4,165
4,1197
4,47
4,1205
4,63
4,64
4,838
4,714
4,203
4,464
4,465
4,215
4,89
4,227
4,230
4,105
4,235
4,1517
4,622
4,239
4,496
4,241
4,1781
4,121
5,1
5,130
5,515
5,4
5,2309
5,1541
5,140
5,147
5,149
5,534
5,27
5,287
5,1323
5,1329
5,1331
5,59
5,63
5,203
5,239
5,2289
5,242
5,1781
5,122
6,256
6,1
6,3
6,1541
6,7
6,10
6,267
6,13
6,142
6,143
6,16
6,2324
6,672
6,161
6,33
6,1191
6,426
6,42
6,172
6,46
6,48
6,1074
6,179
6,178
6,566
6,182
6,440
6,58
6,445
6,62
6,194
6,66
6,332
6,82
6,215
6,983
6,89
6,218
6,219
6,90
6,93
6,94
6,2273
6,226
6,2275
6,103
6,2282
6,493
6,1518
6,110
6,109
6,1521
6,2296
6,762
6,1787
6,2301
6,895
7,1
7,4
7,3332
7,134
7,8
7,13
7,14
7,143
7,16
7,1817
7,160
7,33
7,34
7,294
7,167
7,169
7,170
7,173
7,50
7,184
7,828
7,188
7,61
7,62
7,190
7,63
7,66
7,68
7,198
7,76
7,78
7,207
7,465
7,210
7,83
7,82
7,983
7,89
7,218
7,90
7,100
7,103
7,365
7,110
7,112
7,124
7,126
8,1
8,134
8,7
8,13
8,1808
8,23
8,32
8,33
8,2342
8,169
8,42
8,53
8,440
8,317
8,63
8,66
8,70
8,332
8,78
8,465
8,210
8,211
8,467
8,983
8,472
8,88
8,216
8,219
8,218
8,89
8,90
8,110
8,124
10,1
10,3
10,267
10,13
10,14
10,2324
10,1816
10,155
10,283
10,2333
10,157
10,30
10,34
10,1198
10,1326
10,48
10,178
10,179
10,566
10,182
10,568
10,1334
10,58
10,445
10,63
10,3404
10,332
10,465
10,82
10,215
10,985
10,90
10,219
10,120
10,93
10,229
10,1766
10,1769
10,106
10,109
10,116
10,2296
10,1532
11,256
11,1
11,3
11,3332
11,7
11,10
11,13
11,143
11,33
11,42
11,1326
11,48
